[2, 818]
[3, 821]
[4, 827]
[5, 832]
[6, 838]
[7, 840]
[8, 843]
[9, 849]
[10, 852]
[11, 860]
[24, 914]
[25, 894]
[26, 887]
[27, 892]
[28, 893]
[29, 896]
[30, 897]
[31, 896]
[32, 896]
[33, 895]
[34, 895]
[35, 891]
[36, 889]
[37, 887]
[38, 884]
[39, 886]
[40, 886]
[41, 884]
[42, 882]
[43, 882]
[44, 883]
[45, 881]
[46, 882]
[47, 881]
[48, 880]
[49, 878]
[50, 877]
[51, 875]
[52, 874]
[53, 877]
[54, 878]
[55, 880]
[56, 886]
[57, 889]
[58, 889]
[59, 886]
[60, 886]
[61, 886]
[62, 884]
[63, 881]
[64, 877]
[68, 875]
[69, 872]
[71, 872]
[72, 873]
[80, 692]
[84, 633]
[85, 639]
[86, 653]
[87, 676]
[88, 707]
[89, 739]
[93, 531]
[98, 371]
[105, 485]
[112, 238]
[126, 470]
[130, 314]
[131, 294]
[132, 283]
[133, 285]
[134, 291]
[141, 529]
[165, 244]
[166, 214]
[180, 640]
[181, 592]
[182, 538]
[196, 603]
[197, 556]
[198, 509]
[199, 470]
[200, 444]
[201, 432]
[202, 417]
[204, 422]
[205, 433]
[206, 448]
[207, 477]
[208, 505]
